product_name,review
Lenovo IdeaPad Slim 3,Good
Lenovo IdeaPad Slim 3,Nice
Lenovo IdeaPad Slim 3,"Worst display
Dead pixels
Not at all a ips display"
Lenovo IdeaPad Slim 3,"Performance is good, sound also good,
But battery drained very fast."
Lenovo IdeaPad Slim 3,Got it on a great deal. Hopefully it will work longer.
Lenovo IdeaPad Slim 3,Good 😊👍
Lenovo IdeaPad Slim 3,"Amazing laptop
Battery backup 5 hrs to 6 hrs
IPS display
Portable design
Compact laptop
Back-lit keyboard
Fingerprint missing
Perfect for coding, students, productivity works"
Lenovo IdeaPad Slim 3,Everything is good except the TN Panel. It is too fade in colors when you compare with IPS Panel. Buy it if your use is just for productive purpose. For entertainment purpose it's not recommend.
Lenovo IdeaPad Slim 3,Display is very good dont go on reviews....
Lenovo IdeaPad Slim 3,Value for money
Lenovo IdeaPad Slim 3,"I got it yesterday, but the sound quality is very very bad and it's not clear at all it's not audible at all and there is a heating issue also. But the sound of this new laptop is really very disappointing. Worst Sound system.

Display is average. Not good."
Lenovo IdeaPad Slim 3,"If you looking under 40000 best laptop go for this 😎
Performance - 5/5
Degine - 5/5
Sound - 3
Battary - 3.8
Overall looking - 4.5

Performance never disappoints, super fast performance,

One thing I ad on one thing that's, I get this laptop from a genuine seller and genuine product from Lenovo."
Lenovo IdeaPad Slim 3,"The best one at this price, go for it without a second thought."
Lenovo IdeaPad Slim 3,Worthy ✨ It is a good PC All tasks run smoothly Without any issues and you can also do decent 🎮🎮Gaming...
Lenovo IdeaPad Slim 3,"I purchased this on sale at 39000, so according to this price laptop performance is good, but the only issue is display brightness"
Lenovo IdeaPad Slim 3,This laptop is very good and value for money. display quality is osam
Lenovo IdeaPad Slim 3,"value of for money so far, seems to fast and good"
Lenovo IdeaPad Slim 3,Display quality is not good
Lenovo IdeaPad Slim 3,"It is fast, slim and handy"
Lenovo IdeaPad Slim 3,"Product was good at this budget some new features added in ideapad series overall performance was excellent
Display✅️
Backlit keyboard ✅️
Camera ✅️"
Lenovo IdeaPad Slim 3,Good Performance
Lenovo IdeaPad Slim 3,not working after opening the laptop.
Lenovo IdeaPad Slim 3,"Best laptop, good performance, Battery backup is less."
Lenovo IdeaPad Slim 3,So marvellous 🤩
Lenovo IdeaPad Slim 3,Outstanding performance with sufficient battery backup
Lenovo IdeaPad Slim 3,Good
Lenovo IdeaPad Slim 3,"Value for money
Good product"
Lenovo IdeaPad Slim 3,Good product if you are looking below 40000
Lenovo IdeaPad Slim 3,"Overall good product, but very late delivery by Flipkart. Performance is outstanding, display is good and durable, metal body and it's sleek design makes it easy to carry, backlit is a bit dull on full brightness. Overall good product."
Lenovo IdeaPad Slim 3,"It's ok, because I can't compare with other brand. I have only this one"
Lenovo IdeaPad Slim 3,"Good one so far. Battery is decent 5-5:30 hrs. backup. Display is good, but you will feel some difference compared to OLED. I bought it around 41.8K. From this budget Ryzen 7 AMD series is good. I am not a gaming fan, and I don't have an idea. Yet to add some software testing and This is my initial review. Will update the review once after testing full laptop."
Lenovo IdeaPad Slim 3,i7 processor is available but the working speed is not as per i7 processor
Lenovo IdeaPad Slim 3,"Overall the laptop is good.
Voice is a bit low not loud for any general meetings.
In a silent room you can listen to music or watch movies.
The display is below average. The viewing angle may disappoint you and is not meant for long hours of working.
May overheat during game play.
You can't upgrade your RAM, because it is soldered on the motherboard.
After that everything is awesome.
Good for college students, Its performance never disappoints you."
Lenovo IdeaPad Slim 3,"Overall is good at this price, But battery is slightly weak...It drains rapidly"
Lenovo IdeaPad Slim 3,Poor product of Lenovo
Lenovo IdeaPad Slim 3,"Battery backup only one hour
Heating problem
Low build quality .
Display dead pixels 😥😢
Warrenty only 7 month"
Lenovo IdeaPad Slim 3,"pros
battery charging time
battery backup
performance
value for money
build quality
cam quality
display resolution
lite weight
no heating problem. i just faced it only one time only


cons
display is good but its fade in different angle
sound is low
too delicate"
Lenovo IdeaPad Slim 3,Good for the student and office work
Lenovo IdeaPad Slim 3,Good laptop value for money
Lenovo IdeaPad Slim 3,Build quality is fine at this price but display isn't preety good. It's okok and voice is also low you can't hear properly.
Lenovo IdeaPad Slim 3,"I am posting this review after using 30 days,
Everything is good but only heating issue while charging some times.other than everything is fine"
Lenovo IdeaPad Slim 3,Good one for office and personal use...
Lenovo IdeaPad Slim 3,Whatt a excellent performance....go for it....!! Without any hesitation
Lenovo IdeaPad Slim 3,The display is bad . Audio is slow.
Lenovo IdeaPad Slim 3,Laptop performance is top
Lenovo IdeaPad Slim 3,"It's a good laptop for personal use and study. It's lightweight, and battery backup is also good. In this price good one. I'm happy with this product. Thanks."
Lenovo IdeaPad Slim 3,"Got the laptop in big billion day at 39.3k. Giving the review after 1 week of use. I'm satisfied with everything but sound quality is very very poor quality (if you are in a indoor room still you can't able to hear the sound with full volume). I expect the company to work on that. I can rate
Design: 5✴️
Battery: 5✴️
Performance : 5✴️
Sound: 1✴️"
Lenovo IdeaPad Slim 3,Nic
Lenovo IdeaPad Slim 3,Good product
Lenovo IdeaPad Slim 3,Very good product
Lenovo IdeaPad Slim 3,good
Lenovo IdeaPad Slim 3,Build quality is fine at this price but display isn't preety good. It's okok and voice is also low you can't hear properly.
Lenovo IdeaPad Slim 3,Average
Lenovo IdeaPad Slim 3,Got it on a great deal. Hopefully it will work longer.
Lenovo IdeaPad Slim 3,"Amazing performance. Value for money.
Superb"
